language,review,voted_up,playtime
schinese,"这是我在Steam上通关的第一款游戏，理应为他写几句评价。
我是预购的豪华版，2024年9月底来到了大石敢当面前，没想到完成一周目居然就到了2025年12月7号。
作为动作游戏苦手，很多boss是靠轮椅打法过的，但当我再一次击败大圣残躯，耳边响起《云宫迅音》，那份感动真的无与伦比。",True,4592
schinese,"当金箍棒的嗡鸣穿透屏幕，当花果山的残阳映红眼底，《黑神话：悟空》从来都不只是一款游戏。它是一场跨越童年与成年的对话，一次对东方神话的深情叩问，更是将我们心底沉睡多年的英雄梦，连同那些未被驯服的反抗欲，一并唤醒的精神盛宴。
神话祛魅：在黑暗里看见真实的人性
我们自幼熟记的西游，是神佛庇佑的光明叙事，而《黑神话》却敢撕开神话的华美外衣，露出底下权力的褶皱与人性的斑驳。天庭不再是正义的化身，而是用 “天命” 编织枷锁的权力机器；神佛并非慈悲为怀，反倒借着 “普渡众生” 的名义，吞噬着众生的信仰与自由。
这里的每一个角色，都带着沉甸甸的烟火气与悲剧感。八戒憨态可掬地跟在身后，一遍遍复述着与猴哥的过往，那些未曾说出口的思念，藏着中国人最含蓄的兄弟情；菩提祖师的壁画前，飘落的菩提叶默默回血，那句 “我有一个故人，怕他闯下烧身大祸”，道尽了师父对弟子藏于心底的牵挂与庇佑；通臂猿猴踏遍三界寻找五蕴，只为再见 “孩子” 一面，当看到身着大圣铠甲的天命人时，她眼中的执念化为释然，让人心碎又温暖。就连悟空本人，也不再是无所不能的齐天大圣。他是在神性与兽性间挣扎的反英雄，是识破神佛骗局后以死反抗的觉醒者，是即便肉身覆灭，意志也依然要冲破轮回的孤勇者。这些破碎的、不完美的形象，恰恰戳中了我们内心最柔软的地方 —— 我们都曾渴望成为英雄，却也都明白，真正的勇敢，是认清世界的荒诞后，依然选择坚守本心。
意志永生：反抗是刻在骨子里的基因
游戏最动人的内核，从来不是惊天动地的 BOSS 战，而是对 “自由” 与 “反抗” 的永恒歌颂。金箍不再是简单的法器，而是体制的规训、命运的枷锁；取经路也不是通往救赎的坦途，而是一场被操控的轮回骗局。
天命人的每一次死亡与重生，都是对既定命运的反抗；每一次拒绝戴上金箍的选择，都是对自由意志的坚守。当最终在花果山的残阳下，《云宫迅音》的旋律缓缓响起，我们穿上凤翅紫金冠、锁子黄金甲，握住那根沉甸甸的金箍棒时，心中涌起的早已不是单纯的激动，而是一种成年后久违的、梦想成真的震颤。
我们终于可以不再只是旁观者，而是成为了那个从小就向往的英雄 —— 不是被神佛驯服的 “斗战胜佛”，而是永远敢于挑战权威、打破枷锁的 “齐天大圣”。这种感动，源于文化血脉的共鸣，更源于我们每个人都曾有过的、不愿被世俗磨平棱角的倔强。
文化回响：在第九艺术里安放民族的乡愁
对于我们这代人而言，《西游记》是刻在 DNA 里的文化记忆。而《黑神话》最了不起的地方，是用次世代技术，将那些只存在于文字与想象中的东方美学，具象成了可触可感的沉浸式体验。千佛古刹的残破佛像、悬空寺的飞檐斗拱、水墨写意与粒子特效交织的战斗场景，每一处都透着熟悉的东方韵味。
当外国玩家在惊叹神话的瑰丽时，我们感受到的，是一种文化自信的回归。我们终于不用再在西方游戏里扮演牛仔、刺客，而是可以回到自己的文化土壤，扮演那个从小就扎根在心底的英雄。这种归属感，是任何外来作品都无法给予的，它像一杯陈酿，越品越浓，越品越让人动容。
《黑神话：悟空》的成功，从来不止于技术的突破，更在于它让我们重新审视自己的文化，重新拥抱心底的英雄梦。它告诉我们，神话从未远去，那些关于反抗、关于坚守、关于情谊的故事，始终在我们的血脉里流淌；它也让我们明白，真正的自由，不是颠覆一切，而是在认清生活的真相后，依然保有那份不被驯服的勇气。",True,3408
schinese,"①美术设计：10.0分。这没什么好说的，满分实至名归。亮眼之处在于每章动画、每章画卷、地图中现实古迹的编排。
②剧情设计：9.0分。此处在网上争议极大，是非曲直，实难以论说，只能斗胆跟评两句。第一章主题是观音妙评；第二章主题是秩序尊卑由天定，这也是中国历史上经久不衰的哲学议题；第三章主题是人心是试探不得的；第四章主题是相爱不一定要在一起；第五章主题是中老年人的身不由己，此点个人感触很深，进入社会之后个人努力确实对事情结果的占比在逐渐下降；第六章主题则是各种意义上的未竟。首先，各章主题分明，很好的阐述了人性中爱与复仇两大核心。其次，各章主题很符合中国传统文学“劝世教人”的核心主旨，章回体结构和半白半文的语言，加上第九艺术的表现力，可以说，黑神话悟空确实是尊重了原著。若就此点论之，各角色人物形象已然不重要，因为后者是具有时代性的，也是历代层垒叠加的结果。综合以上两点，在崇尚个人自由和物质生活从而导致精神生活出现虚无主义倾向的当代，悟空的剧情确实存在一定的教育意义。但是剧情也有问题，即存在一定程度的“中皮西骨”现象。中国传统文学并不主张绝对的善恶，一切权力关系均存在内外两因，套用剧情中的话就是“你那大师兄其实并不圆满”，而不是西方式for freedom的二元对立论。漫天神佛对灵韵的系统性剥削一定是建立在一个不得不的理由之上，否则一个绝对剥削的政治体制绝对难以维持，此处黑神话并没有详加阐述，希望在dlc中游科有所解答。综之，剧情处我个人给9.0分。
③音乐设计：10分。此处分为三块，一是每章主题音乐。不论是《看见》的娓娓道来，还是《三界四洲》的欲壑难填，亦或是《勿听》的百转千回，还是《不由己》的歇斯底里，亦或是《未竟》的饱经沧桑都令人印象深刻。二是游戏背景音乐，首推自然是《敢问路在何方》变调，百转千回，余音绕柱，把“斗罢艰险又出发”展现的淋漓尽致。其他背景音乐也很不错，主要表现在营造战斗氛围的同时还做到了不喧宾夺主。其他同类作品常有boss战多次挑战，导致催人奋进的背景乐变成了无情嘲讽的事实，但黑神话可以说完美避开了这一点。第三块是音效。此处主要指地图背景音效，正如b站up老李聊点什么所说，背景音效真正做到了“大音希声”，即在小雷音寺有寺庙的感觉，在黄花观有道观的感觉。而且现实的背景音效是非常复杂的，有动物声、有风声、有人声，通过音效营造一个真实的环境是很困难的，游科在此处一定是下了极大的功夫。其次是打击音效，此处我个人感觉没什么雷点，但也说不出好赖，就不评价了。
④地图设计：8.5分。其中第一章9.5分，游科在设计小规模的箱庭场景上表现不错。第二章9.0分。第三章8.0分，极乐谷差点给人干出雪盲症。第四章8.0分，阴间下洞。第五章8.0分。第六章5.5分，史中史。综合评价，8.5分。黑神话地图设计中网上最具争议的是便是空气墙，这个问题我个人认为在第二章体现最明显，其出现的根本原因还是黑神话美术太真实，导致在探图时经常出现“我认为此地能去，但是被空气墙阻挡”的情况，此种“为了艺术效果牺牲游戏性”的选择因人而异，不论褒贬皆无可指摘。所有地图中设计最出色的是浮屠塔，如果真的存在十八层地狱，那一定就是浮屠塔的样子。其中石质的转经塔旋转的声音如同磨盘一样在我心中研磨，很有一种身处旋涡无法自拔的无力感，暗合小张太子的“规劝”。加上背景乐中令人牙酸的野兽嘶吼和时不时偷袭的野怪还有几分钟一次的红眼，以及螺旋阶梯的设计，氛围感真的拉满，反正我个人当时被吓得不轻，只想快点逃离。不过一层到四层光线转明以及视野逐渐开阔，确实有柳岸明花的幸存感。另外，此处可以看到游科对于黑神话的设计是非常极端的，他们在商业和价值输出的取舍中偏向了后者，以至于游戏处处体现出了近乎神经质般的偏执。我猜测游科当时的想法就是，这可能是各种意义上第一次也是最后一次说自己想说的机会，不如抓住机会一股脑的全说了，哪怕存在明显工期不足导致的赶工，也要把故事输出出来。
⑤动作设计，9.0分。此处无法详评，因为我对于此处没有什么研究，只能说对我来说没有雷点。不过有一点感受，除了劈棍戳棍和立棍，是不是还缺了一个扫棍之类的对群攻击棍法，总有一种没做完的感觉。还有经过解析，二郎神有70+的变招种类，大圣残躯有40+的变招种类，可以说量堆的相当足，甚至可以说有一点量变引起质变的味道。
⑥人物形象塑造，9.5分。总体而言，各个人物的形象塑造皆很饱满，其中最喜欢的还是大圣，虽然处处没有大圣，但是处处皆是大圣。影神图、章回画卷、游戏其他角色口述各种叙述有真有假，有古有今，真正体现出了老猴所说“你那大师兄并不圆满”。",True,3028
schinese,"国产神作，演出满分
除了最后两章有点赶工，其他都很完美",True,4573
schinese,"游戏在2025年末已经不缺我一个好评差评了。

感觉比起 Witcher 3 他就差一口气。搜了下，黑神话悟空制作成本算上 marketing 花了 $70 million。2015年的 Witcher 3 当时花了 $81 million。我甚至开始有点佩服游科在有限资源下的取舍后呈现出来的整个游戏质量。杭州深圳未必会比华沙开销低。

非要说不足的话就是空气墙可能确实多了点，和那在最后提到“三打白骨精确是三打爱人”的一笔似乎没有必要。

这游戏让久居小西天的我无比思乡，可能是时候回东土大唐看看了… 顺带期待黑神话钟馗",True,5975
schinese,"更新的挺好，关掉成就重新打了一遍，发现有些成就更难达成了
",True,14077
schinese,"这个第五章第六章做成这样就弃坑了？挖的坑都够埋你们了？做个太监游戏还好意思开钟馗？？？这是是要开东广？想圈钱直说！
剧情看似宏大，但是你不出DLC也不出序章，那就是一群中二病，只会说屁用没有，画大饼式剧情。
一共玩了93个小时，这贯穿全局一成不变怪物就这几个招式仿佛复制黏贴，boss战仿佛是为了下一个boss战而生的，打完只有结束后的解脱，然后马上打下一个小boss,重复的boss战斗使其更累而不是更刺激，打小怪基本没有收益，甚至也没有其他娱乐的收益，没有任何有意义的探索。
我只能把它当成一个看风景的游戏，但是看风景会有小怪或者boss来恶心你。
",False,5780
schinese,刚发售就买了，特地等到热度过了来玩，耗时57小时成功通关， 一开始看到预告片的时候，我本来并不觉得这游戏能达到我的预期，特别是听到身边人都在讨论‘‘一个没有任何游戏开发经验的公司要做大型买断制单机游戏’’这在中国根本不可能，因为连731这样的题材都能拿来赚钱，我根本不会承认会有这样的一款游戏出现，太不真实了 现在不得不承认这是一款用心的好游戏 每个boss都让我酣畅淋漓，扣人心弦的故事总会让我好奇后续的内容，每一个刻画鲜美的角色都能让我共情，二郎神我花了半小时研究不同打法使劲浑身解数才过的，看到结尾制作名单更是怅然若失恍惚了好久，很久没有这么认真的评价一款游戏了 凌晨6点我还不睡特地来给黑猴打好评， 夯爆了哥们 这个游戏给我留下了很深的印象 我应该会记很久,True,3962
schinese,"黑猴这游戏，我玩的时间越长，就越是觉得，其最大的缺点，就是一周目的时候，玩家一旦卡在某个BOSS那里，就会卡上好久。像我总是打不过晦月魔君，死了上百次，这个挫败感实在是太强了！以至于我有一个多月都不想玩。游科为什么不在一周目让玩家体验故事模式，就所有BOSS打起来都比现有一周目的难度更简单。先让玩家把剧情连贯流畅的完整体验一遍，到了二周目再逐渐变难也行啊。就非要在一周目，角色各项数值都不高的时候，用BOSS卡住玩家，然后卡得时间长了，挫败感太强，失去了热情，就不想玩了。

就哪怕故事写得再好，玩家打不过BOSS，卡住了。或者就算打过了，可以继续体验剧情了，之前发生了什么都已经忘了。剧情写得那么好，一周目就没有一个流畅连贯的体验，又有什么用呢？",False,6325
schinese,入坑的第一款游戏，美术风格太好了，纯中式，没有任何西幻风，这很难做到，我记得之前看到个视频，有个up主自己做了一个山海经主题的视频，但是里面全都是蜥蜴龙或者克苏鲁类型的怪，但是黑猴完全没有这总感觉，主美上大分，还有配音做的也特别特别好，没有违和感，这在很多游戏都做不到，甚至是我更喜欢的影之刃零，美术和配音都还是比不上黑猴。就是游戏时长太少了，而且比较枯燥，打完一周目就没有动力了，希望后续的新作打磨得更精致一些,True,6169
schinese,很好玩   买了不亏,True,15039
schinese,恶心玩意，狗屎第六章，你在大石敢当上面放个土地庙会死吗？打他不是闪退就是突然卡住，血条直接不见了，卡在原地，打也打不了，重新传送，跑过来又是满血。这些还只是其中之一，各种各样的恶心事，打到第六章了是真的忍不了了，9700x，48g内存，5060不配玩你贵游？一年多了你还跟我说你没时间优化？,False,4343
schinese,游戏难度、成长路线单一，必须要拿到法宝、必须要刷怪，否则会卡关，也没有相应提示，后续业务DLC或者优化修改，持续可玩性有限,False,4268
schinese,"优化垃圾，4060显卡16G内存带不动中画质60帧。
美术音乐很顶，独一档的优秀。
运镜很明显想学新战神的一镜到底，也不错，但是技术力不够，明显看到CG和实时建模混着用。
动作系统和法环坐一桌，高上那么一点，上限就摆在那里。跳加的意义不明，派生攻击用处不大，也不能躲技能，估计只是为了掩盖自己地图设计的不足。精力条也意义不明，明摆着不让你爽打，不像战神也不像仁王，就是像法环，说类魂真的没毛病吧？
boss战很有意思，其实围绕闪避和轻攻击第一下追击设计得很好。有点难度但是不多。
地图意义不明，引导差，首发没地图看更是灾难。
打击感这一块无法碰瓷战神，就重棍有点打击感。
还是那句话，演出音乐美术做好不愁吸引新玩家，文化输出就一个游戏的事。
有空气墙拦住玩家，没空气墙拦住小怪进boss房是吧，场景交互也是稀烂，打的正爽卡住动不了，凭什么有的房檐能上去有的上不去，左右脑互搏。
总的来说，如果是纯bossrush还是佳作，吹成神作的猴xz们别忘了mc评分81是有原因的，再搞开盒差评人控评就真的成单机原神了，打差评就是给你们看的。",False,881
schinese,也就虚幻5让这个游戏画面能挤进3A门槛，剧情游玩性都很一般般，不值这个定价！,False,1149
schinese,"画面很棒，战斗也很流畅，文化底蕴也很丰富。
Great graphic and game play, rich culture background.",True,3972
schinese,非常喜欢，画面，机制都非常棒，无可挑剔,True,7623
schinese,战斗非常爽，比想象中的体验更好。希望完善一下世界观，目前的世界观很僵硬,True,1605
schinese,情怀满分，画面不错，可惜最后两章太赶了,True,2939
schinese,"文化内核深厚：游戏以中国传统神话《西游记》为背景，挖掘了原著中更为黑暗、复杂的一面，神佛并非全然慈悲，妖魔鬼怪也有自己的苦衷与执念，构建了一个充满阴谋论色彩的西游世界。同时，游戏中充满了对 “天命”“因果”“修行” 等中国传统哲学概念的探讨，让游戏超越了单纯的打怪升级，有了更深的思辨空间。
画面美术惊艳：利用虚幻引擎 5 的强大性能，游戏呈现出了令人惊叹的视觉效果。从古刹残垣、雪岭荒原，到盘丝洞府的诡谲、紫云山的奇崛，每一处场景都极致还原了中式古典美学中的意境。游戏中的角色、建筑、器物、服饰都有着深厚的考据，能在中国古代雕塑、壁画和建筑中找到原型，充满了文化的 “质感”。
战斗系统出色：战斗系统以 “金箍棒” 为核心，劈、戳、砸、立等棍术招式手感扎实，音效反馈出色，完美体现了 “重器” 的力量感。同时，将 “七十二变” 巧妙地融入战斗系统，玩家通过积累 “识破” 值，可以变身成特定的妖怪，使用其特殊技能进行战斗，增加了战斗的多样性和策略深度。此外，定身术、毫毛分身等经典法术的加入，也让战斗充满了变化。
BOSS 设计精彩：游戏中的 BOSS 设计独特，如寅虎的攻击欲望强，技能帅气，交互性好，让玩家感受到了东方武术的魅力。虎先锋等 BOSS 的设计也很成功，有参与感和代入感，能和玩家打的有来有回。虽然部分 BOSS 难度较高，但玩家通过不断尝试和学习，能够逐渐掌握其攻击模式和应对策略，打败 BOSS 后能获得强烈的成就感。
难度把控得当：游戏没有难度选择，但难度把控在一个较为完美的临界点，既没有像魂游那么难，也没有像 ARPG 爽游那么无脑，对于动作游戏老手比较友善，新手玩家通过不断练习和合理利用支线获取的物品等也能够顺利通关，给所有玩家都能带来良好的游戏体验。
缺点
地图引导不足：游戏没有明确的指引，没有地图中的地标建筑，甚至连小地图和方位指示器都没有，玩家在探索时容易迷路，尤其是在第二章，玩家可能会在来回迷路刷怪中花费数小时，影响了游戏的流畅度和沉浸感。
部分系统存在问题：游戏中的嗑药与喝酒操作有时不够稳定，存在有时候吃不了药，有时候连嗑两粒的情况。此外，某些物品的掉落率较低，玩家可能需要花费大量时间刷取，影响了游戏体验。字幕大小不能调节，对于部分玩家来说可能不太友好。
后期关卡设计欠佳：部分玩家认为游戏后面三章在关卡设计和剧情引导上与前三章有不小差距。第四章白眼作为关底 BOSS 在剧情上略显突兀，第五章的一条路走到底的设计缺少游戏的沉浸感，第六章也存在一些问题，影响了游戏的整体质量。",True,3803
schinese,"112小时的游戏时长停留在屏幕上，我终于敢说自己触碰到了这款国产3A的全貌——它不止是一场酣畅的动作盛宴，更是一次穿越神话迷雾的修行，有震撼到失语的高光，也有瑕不掩瑜的遗憾，却终究用东方风骨，撑起了玩家对国产3A的所有期待。
",True,6759
schinese,"满足了小时候的幻想，把志怪神话，妖魔鬼怪具象化了，多少文化，古迹通过游戏的方式呈现出来，具有里程碑式的意义，游科确实没有辜负我的期待。

优点太多了，我就挑几个比较戳我的吧
1.怪物的种类多的眼花缭乱，爱不释手，建模也很细。
2.识破，铜头反震，还有四段棍式，是真的很爽。最后大圣残躯的几个彩蛋设计，简直绝了。
3.过场动画很好看，故事情节很丰满，碎片化叙事，但没有黑魂那么碎，那么隐晦，也可能是有文化基础的原因。
4.顶级的配乐把神话的氛围衬托的恰到好处，配音贴合完全不出戏，音效除了打击感方面好像有点小瑕疵，基本完美。
5.妖怪图鉴的故事太丰富了，文化底蕴是真厚实。

缺点呢我比较在意的
1.空气墙，老生常谈了，也不算大毛病，熟悉之后再加上地图，问题不大。
2.普通第四段感觉有点墨迹，和花里胡哨的感觉。
3.晦月魔君，亢金龙，白眼魔君，这些粪怪打的太难受了，反例就是毒敌大王，虽然难，但是很爽。
4.没有QTE，比较可惜。
5.花果山做得有点草率了

还有特别想说的一点，游科确实交上了一份很完美的答卷，也值得我们期待，但没比必要把它神化，捧上神坛，产生没必要的“皈依者狂热”。好就夸，不好就要骂，千万别把饭圈那一套带进来，党同伐异，容不得半点负面评论，这样对游科，对喜欢游戏的你我，对国产游戏都不是什么好事。
最后，对于《钟馗》的项目我表示不理解，并不是不相信游科能把《钟馗》做好，而是担心步子太大容易扯到蛋，还有黑神话后续破灭的残念，恐怕《黑猴》的后续弄不好得2030年以后了。（话说是不是因为这些年开发黑猴，游科人对这些素材都有点恶心了，想换换心情？）",True,10687
schinese,很好玩，游戏刚出来就想买了，可惜当时没有电脑，感觉买了用不上。现在玩起来也是很舒服，也有朋友在教我玩，得心应手。,True,1914
schinese,值得推荐的一款国产3A大作，不过希望能去掉空气墙！,True,532
schinese,画面很好，确实用心了；打斗部分问题很多，特别是在一些BOSS站时，即使将BOSS定身输出后，BOSS的后续招式（如投技）仍旧会触发，而且无可避免，这个逻辑非常的无语，悟空方面反而各种被打断，很影响游戏性,False,2255
schinese,非常不错的游戏 那些因为觉得难度大而差评的 这么建议直接截肢 或者建议去医院挂个号,True,3275
schinese,"永远支持齐天大圣

-------------

对不起  手残一个boss没打过已经死了10次乐，没关系，是悟空，我还是要一直尝试！！！",True,309
schinese,"打完黄风岭弃
美术一流，玩法还算不错，其他就显平庸了
连空气墙都用不明白，真的不应该",False,1742
