file_source,phenomenon,UID,pair_id,sentence_good,sentence_bad,correct_0.5B,correct_1.5B,both_correct,both_wrong,fixed,regression
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,0,赵大爷检查了六个头，李四四个。,赵大爷检查了六个头，李四四只。,False,False,False,True,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,1,王小姐领养了十只小猫，宋女士七只。,王小姐领养了十只小猫，宋女士七条。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,2,胡大爷清蒸了三条鱼，王五六条。,胡大爷清蒸了三条鱼，王五六只。,False,False,False,True,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,3,郑大妈捕捉了三条鱼，冯大哥一条。,郑大妈捕捉了三条鱼，冯大哥一只。,False,True,False,False,True,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,4,小明喝了两瓶矿泉水，杨大哥六瓶。,小明喝了两瓶矿泉水，杨大哥六杯。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,5,王先生烧了一条鱼，王姨四条。,王先生烧了一条鱼，王姨四只。,False,True,False,False,True,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,6,王小姐捕捉了六头大象，胡大爷八头。,王小姐捕捉了六头大象，胡大爷八只。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,7,徐小姐打断了四条腿，张婶五条。,徐小姐打断了四条腿，张婶五只。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,8,张婶包扎了两个头，吴太太四个。,张婶包扎了两个头，吴太太四只。,False,False,False,True,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,9,郑大妈写了三本书，王姨七本。,郑大妈写了三本书，王姨七部。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,10,张夫人爆炒了七只鸡，赵大爷三只。,张夫人爆炒了七只鸡，赵大爷三条。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,11,张先生创作了两本漫画，王姨九本。,张先生创作了两本漫画，王姨九部。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,12,小王炖了五条鱼，宋女士三条。,小王炖了五条鱼，宋女士三只。,False,False,False,True,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,13,王小姐制作了十本手账，陈大姐三本。,王小姐制作了十本手账，陈大姐三部。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,14,小明喝了十瓶红酒，王五六瓶。,小明喝了十瓶红酒，王五六杯。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,15,王五包扎了一个头，胡大爷四个。,王五包扎了一个头，胡大爷四只。,False,False,False,True,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,16,王五包扎了两条腿，小王六条。,王五包扎了两条腿，小王六个。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,17,王姨包扎了九条腿，小王六条。,王姨包扎了九条腿，小王六个。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,18,张夫人搬了十张桌子，王姨两张。,张夫人搬了十张桌子，王姨两把。,True,False,False,False,False,True
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,19,陈大姐捕捉了三头大象，张婶五头。,陈大姐捕捉了三头大象，张婶五条。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,20,王先生煮了四只鸭，张三八只。,王先生煮了四只鸭，张三八条。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,21,张三包扎了四条腿，赵大爷七条。,张三包扎了四条腿，赵大爷七只。,True,True,True,False,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,22,李先生领养了两条小狗，吴太太三条。,李先生领养了两条小狗，吴太太三只。,False,False,False,True,False,False
ellipsis_n_bar_class.jsonl,ellipsis,ellipsis_n_bar_class,23,周大妈捕捉了一头大象，张婶九头。,周大妈捕捉了一头大象，张婶九只。,False,True,False,False,True,False
